Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
227,Isaiah Hartenstein,23,LAC,C,68,0,1216,.626,5.9,.918,.456,.369,.093,.000,.082,.640,.754,.519,.559,,.467,.749,.857,.197,66,.200,.333,0,0,,harteis01
228,Naz Reid,22,MIN,C,77,6,1215,.489,10.6,.651,.399,.244,.008,.000,.349,.568,.684,.379,.500,,.343,.625,.982,.099,40,.229,.474,0,0,,reidna01
229,Lonzo Ball,24,CHI,PG,35,35,1212,.423,19.9,.321,.154,.047,.057,.063,.679,.423,.610,.333,.273,.167,.423,.404,.845,.018,6,.235,.475,2,0,,balllo01
230,Aaron Wiggins,23,OKC,SG,50,35,1209,.463,12.7,.591,.249,.318,.018,.006,.409,.573,.655,.514,.500,.500,.304,.561,.976,.050,15,.362,.340,0,0,,wiggiaa01
231,Malcolm Brogdon,29,IND,PG,36,36,1206,.448,13.2,.657,.285,.192,.103,.077,.343,.518,.632,.452,.411,.405,.312,.249,.586,.009,4,.167,.323,1,0,,brogdma01
232,James Johnson,34,BRK,PF,62,10,1191,.469,9.4,.723,.476,.192,.033,.023,.277,.545,.651,.390,.200,.143,.271,.512,.913,.091,25,.376,.313,0,0,,johnsja01
233,Jonathan Kuminga,19,GSW,SF,70,12,1185,.513,11.0,.676,.341,.276,.043,.015,.324,.598,.771,.433,.400,.286,.336,.608,1.000,.172,74,.349,.250,2,0,,kuminjo01
234,Jordan Nwora,23,MIL,SF,62,13,1185,.403,16.8,.509,.188,.130,.097,.093,.491,.455,.667,.350,.333,.302,.348,.617,.747,.030,10,.295,.343,0,0,,nworajo01
235,Facundo Campazzo,30,DEN,PG,65,4,1184,.361,19.4,.348,.149,.142,.041,.017,.652,.476,.614,.381,.250,.600,.301,.388,.741,.003,0,.197,.289,9,0,,campafa01
236,Shake Milton,25,PHI,SG,55,6,1179,.429,13.4,.670,.199,.278,.136,.057,.330,.481,.700,.402,.400,.304,.323,.369,.930,.005,1,.233,.355,1,0,,miltosh01
237,Taurean Prince,27,MIN,PF,69,8,1177,.454,17.2,.413,.174,.138,.062,.038,.587,.565,.676,.463,.625,.333,.376,.692,.942,.023,7,.402,.446,2,0,,princta02
238,Cam Thomas,20,BRK,SG,67,2,1176,.433,16.0,.654,.107,.145,.250,.151,.346,.520,.574,.521,.548,.434,.270,.415,.702,.002,0,.172,.433,0,0,,thomaca02
239,CJ Elleby,21,POR,SF,58,28,1174,.393,13.4,.591,.312,.169,.075,.036,.409,.462,.615,.231,.478,.182,.294,.631,.973,.036,10,.317,.225,1,0,,ellebcj01
240,JaVale McGee,34,PHO,C,74,17,1172,.629,4.3,.980,.535,.371,.052,.022,.020,.637,.706,.588,.375,.400,.222,.692,1.000,.229,100,.000,,0,0,,mcgeeja01
241,Frank Jackson,23,DET,PG,53,7,1164,.402,17.4,.422,.166,.159,.068,.029,.578,.529,.725,.338,.515,.500,.308,.676,.942,.010,5,.330,.402,0,0,,jacksfr01
242,Hassan Whiteside,32,UTA,C,65,8,1162,.652,3.8,1.000,.552,.376,.058,.015,.000,.652,.802,.516,.263,.000,,.637,,.282,86,,,0,0,,whiteha01
243,Marvin Bagley III,22,2TM,PF,48,25,1153,.504,9.1,.783,.327,.363,.081,.011,.217,.579,.795,.457,.306,.200,.237,.658,.913,.126,52,.485,.213,1,0,,baglema01
243,Marvin Bagley III,22,SAC,PF,30,17,663,.463,10.0,.748,.289,.350,.098,.012,.252,.538,.718,.442,.375,.333,.242,.596,.867,.089,18,.613,.237,1,0,,baglema01
243,Marvin Bagley III,22,DET,PF,18,8,490,.555,8.1,.825,.375,.380,.060,.010,.175,.624,.867,.474,.167,.000,.229,.718,1.000,.170,34,.257,.111,0,0,,baglema01
244,Tre Jones,22,SAS,PG,69,11,1148,.490,9.7,.850,.307,.307,.201,.035,.150,.542,.615,.500,.485,.583,.196,.455,.800,.006,1,.451,.217,3,0,,jonestr01
245,Alex Caruso,27,CHI,SG,41,18,1147,.398,15.4,.508,.258,.145,.043,.063,.492,.462,.591,.324,.364,.313,.333,.567,.929,.023,4,.373,.383,2,0,,carusal01
246,Nemanja Bjelica,33,GSW,C,71,0,1143,.468,14.1,.564,.260,.260,.023,.020,.436,.549,.674,.438,.500,.429,.362,.689,.944,.026,9,.128,.368,0,0,,bjeline01
247,Ish Smith,33,2TM,PG,65,1,1126,.430,13.1,.844,.200,.172,.205,.267,.156,.441,.500,.392,.364,.487,.373,.181,.720,.002,1,.224,.533,1,0,,smithis01
247,Ish Smith,33,CHO,PG,37,1,511,.395,11.7,.865,.254,.211,.205,.195,.135,.394,.489,.282,.368,.417,.400,.238,.800,.000,0,.240,.500,1,0,,smithis01
247,Ish Smith,33,WAS,PG,28,0,615,.457,14.4,.829,.159,.143,.204,.322,.171,.478,.513,.514,.360,.519,.357,.144,.667,.004,1,.214,.556,0,0,,smithis01
248,Joe Ingles,34,UTA,SF,45,15,1122,.404,21.3,.211,.039,.147,.014,.011,.789,.617,.818,.619,.250,.333,.347,.595,.756,.000,0,.187,.405,0,0,,inglejo01
249,Garrett Temple,35,NOP,SG,59,16,1098,.376,18.1,.373,.180,.071,.071,.051,.627,.473,.642,.429,.238,.267,.319,.635,.983,.014,4,.459,.318,0,0,,templga01
250,Stanley Johnson,25,LAL,PF,48,27,1094,.466,13.7,.582,.243,.215,.088,.036,.418,.575,.738,.370,.682,.444,.314,.548,.939,.008,2,.390,.244,0,0,,johnsst04
251,Kyrie Irving,29,BRK,PG,29,29,1091,.469,16.5,.612,.093,.188,.203,.128,.388,.501,.702,.543,.432,.405,.418,.233,.590,.002,1,.146,.429,0,0,,irvinky01
252,Nassir Little,21,POR,SF,42,23,1088,.460,14.9,.511,.283,.140,.038,.051,.489,.584,.742,.386,.333,.438,.331,.691,.922,.114,32,.279,.372,0,0,,littlna01
253,Jeremiah Robinson-Earl,21,OKC,C,49,36,1087,.414,15.3,.491,.244,.151,.062,.034,.509,.478,.608,.429,.200,.273,.352,.750,1.000,.056,15,.279,.348,0,0,,robinje02
254,JaMychal Green,31,DEN,PF,67,8,1085,.486,12.1,.621,.391,.156,.034,.040,.379,.621,.734,.392,.273,.692,.266,.690,1.000,.217,61,.306,.342,2,0,,greenja01
255,Paul George,31,LAC,PF,31,31,1077,.421,16.6,.596,.146,.123,.160,.167,.404,.467,.667,.346,.451,.396,.354,.220,.484,.019,10,.152,.538,0,0,,georgpa01
256,Richaun Holmes,28,SAC,C,45,37,1074,.660,5.5,.983,.500,.273,.200,.010,.017,.664,.767,.549,.567,.667,.400,.750,1.000,.233,62,.000,,0,0,,holmeri01
257,Kenrich Williams,27,OKC,SF,49,0,1072,.461,13.7,.618,.243,.224,.079,.073,.382,.536,.649,.479,.480,.391,.339,.590,.829,.085,24,.331,.350,1,0,,willike04
258,Dewayne Dedmon,32,MIA,C,67,15,1065,.566,8.2,.838,.441,.286,.069,.041,.162,.597,.695,.530,.450,.250,.404,.710,.947,.121,30,.106,.400,1,0,,dedmode01
259,Damian Lillard,31,POR,PG,29,29,1056,.402,17.9,.486,.239,.071,.074,.101,.514,.485,.561,.308,.439,.464,.324,.192,.446,.005,2,.056,.375,0,0,,lillada01
260,Troy Brown Jr.,22,CHI,SF,66,7,1055,.419,15.0,.484,.283,.132,.027,.043,.516,.488,.562,.412,.143,.455,.353,.672,.957,.027,5,.594,.342,2,0,,browntr01
261,LaMarcus Aldridge,36,BRK,C,47,12,1050,.550,12.3,.900,.210,.170,.240,.279,.100,.578,.729,.513,.509,.563,.304,.748,1.000,.039,18,.283,.308,0,0,,aldrila01
262,Larry Nance Jr.,29,2TM,PF,46,11,1040,.522,9.1,.717,.466,.170,.057,.024,.283,.599,.704,.476,.214,.333,.329,.689,1.000,.194,43,.300,.381,1,0,,nancela02
262,Larry Nance Jr.,29,POR,C,37,11,858,.515,10.5,.687,.449,.162,.051,.025,.313,.610,.674,.563,.300,.400,.306,.663,1.000,.202,35,.274,.294,1,0,,nancela02
262,Larry Nance Jr.,29,NOP,PF,9,0,182,.551,7.6,.837,.531,.204,.082,.020,.163,.561,.808,.200,.000,.000,.500,.783,1.000,.163,8,.500,.750,0,0,,nancela02
263,Josh Green,21,DAL,SG,67,3,1039,.508,11.1,.695,.328,.227,.098,.043,.305,.573,.786,.397,.400,.273,.359,.784,1.000,.082,20,.679,.396,1,0,,greenjo02
264,Rudy Gay,35,UTA,PF,55,1,1038,.414,17.4,.464,.142,.150,.111,.061,.536,.494,.778,.333,.405,.391,.345,.506,.929,.047,14,.286,.379,0,0,,gayru01
265,DeAndre' Bembry,27,2TM,SF,56,20,1026,.561,5.3,.837,.584,.249,.000,.005,.163,.589,.667,.418,,.000,.417,.725,1.000,.104,20,.611,.545,0,0,,bembrde01
265,DeAndre' Bembry,27,BRK,SF,48,20,949,.568,6.2,.831,.573,.258,.000,.000,.169,.599,.680,.418,,,.417,.726,1.000,.103,20,.611,.545,0,0,,bembrde01
265,DeAndre' Bembry,27,MIL,SF,8,0,77,.375,4.4,1.000,.875,.000,.000,.125,.000,.375,.429,,,.000,,.667,,.125,0,,,0,0,,bembrde01
266,Aaron Holiday,25,2TM,PG,63,15,1021,.447,13.2,.695,.175,.299,.166,.056,.305,.477,.610,.475,.411,.263,.379,.348,.718,.003,0,.155,.438,0,0,,holidaa01
266,Aaron Holiday,25,WAS,PG,41,14,663,.467,12.9,.687,.178,.318,.164,.028,.313,.524,.605,.529,.486,.167,.343,.364,.739,.000,0,.179,.417,0,0,,holidaa01
266,Aaron Holiday,25,PHO,PG,22,1,358,.411,13.5,.710,.169,.266,.169,.105,.290,.398,.619,.364,.286,.308,.444,.314,.688,.008,0,.111,.500,0,0,,holidaa01
267,Damian Jones,26,SAC,C,56,15,1017,.658,7.4,.891,.489,.241,.060,.102,.109,.696,.877,.469,.438,.519,.345,.794,.900,.252,57,.241,.286,1,0,,jonesda03
268,Lamar Stevens,24,CLE,PF,63,13,1015,.489,9.9,.796,.382,.201,.125,.088,.204,.543,.730,.266,.475,.464,.277,.601,1.000,.113,33,.585,.263,0,0,,stevela01
269,Cam Reddish,22,2TM,SF,49,7,1012,.404,15.4,.549,.211,.125,.108,.105,.451,.442,.593,.471,.273,.279,.359,.525,.833,.042,13,.283,.442,0,0,,reddica01
269,Cam Reddish,22,ATL,SF,34,7,797,.402,15.8,.554,.210,.111,.120,.114,.446,.421,.583,.447,.293,.231,.379,.500,.828,.041,12,.288,.455,0,0,,reddica01
269,Cam Reddish,22,NYK,SF,15,0,215,.415,15.1,.523,.215,.200,.046,.062,.477,.559,.643,.538,.000,.750,.258,.632,.875,.046,1,.258,.375,0,0,,reddica01
270,Donte DiVincenzo,25,2TM,SG,42,1,1006,.351,18.5,.351,.155,.137,.027,.033,.649,.373,.538,.239,.444,.091,.339,.477,.824,.009,2,.216,.426,1,0,,divindo01
270,Donte DiVincenzo,25,MIL,SG,17,0,341,.331,17.9,.373,.212,.110,.017,.034,.627,.409,.520,.308,.500,.000,.284,.556,.714,.025,2,.284,.238,1,0,,divindo01
270,Donte DiVincenzo,25,SAC,SG,25,1,665,.362,19.0,.339,.124,.151,.032,.032,.661,.351,.556,.212,.429,.143,.368,.423,.868,.000,0,.181,.577,0,0,,divindo01
271,Wesley Matthews,35,MIL,SG,49,14,1002,.395,19.1,.286,.155,.091,.041,.000,.714,.540,.676,.400,.333,,.338,.647,.981,.000,0,.382,.367,0,0,,matthwe02
272,Payton Pritchard,24,BOS,PG,71,2,1001,.429,20.6,.343,.094,.091,.062,.097,.657,.461,.629,.353,.478,.389,.412,.356,.802,.003,1,.167,.585,0,0,,pritcpa01
273,Juan Toscano-Anderson,28,GSW,SF,73,6,994,.489,11.7,.630,.328,.277,.013,.013,.370,.588,.662,.538,.000,.333,.322,.690,.857,.102,21,.253,.273,1,0,,toscaju01
274,Onyeka Okongwu,21,ATL,C,48,6,992,.690,2.7,1.000,.677,.296,.027,.000,.000,.690,.765,.522,.667,,,.795,,.274,59,,,0,0,,okongon01
275,Khem Birch,29,TOR,C,55,28,991,.485,6.4,.930,.405,.360,.160,.005,.070,.522,.593,.500,.406,.000,.000,.804,,.135,24,.857,.000,0,0,,birchkh01
276,Kessler Edwards,21,BRK,SF,48,23,987,.412,15.4,.491,.266,.116,.071,.037,.509,.473,.493,.387,.526,.500,.353,.645,1.000,.094,18,.456,.371,1,0,,edwarke02
277,Dean Wade,25,CLE,PF,51,28,980,.456,18.3,.346,.198,.055,.069,.023,.654,.640,.767,.500,.267,1.000,.359,.563,.980,.065,14,.268,.211,0,0,,wadede01
278,Daniel Theis,29,2TM,C,47,27,977,.519,11.9,.632,.378,.134,.076,.045,.368,.641,.745,.590,.364,.385,.308,.797,.970,.189,48,.252,.370,1,0,,theisda01
278,Daniel Theis,29,HOU,C,26,21,584,.469,14.2,.559,.346,.089,.078,.045,.441,.610,.710,.625,.357,.250,.291,.770,1.000,.162,24,.203,.375,1,0,,theisda01
278,Daniel Theis,29,BOS,C,21,6,393,.598,9.7,.750,.429,.205,.071,.045,.250,.679,.792,.565,.375,.600,.357,.825,.900,.232,24,.393,.364,0,0,,theisda01
279,Jaylen Nowell,22,MIN,SG,62,1,975,.475,14.1,.613,.203,.225,.143,.041,.387,.526,.679,.430,.508,.353,.394,.429,.778,.022,8,.169,.407,2,0,,nowelja01
280,Nic Claxton,22,BRK,C,47,19,974,.674,2.5,1.000,.697,.284,.019,.000,.000,.674,.815,.347,.400,,,.736,,.356,88,,,0,0,,claxtni01
281,Dwight Howard,36,LAL,C,60,27,971,.612,4.5,.932,.630,.251,.037,.014,.068,.618,.732,.418,.250,.000,.533,.675,.875,.233,40,.133,1.000,0,0,,howardw01
282,Ricky Rubio,31,CLE,PG,34,8,970,.363,15.4,.577,.197,.165,.136,.078,.423,.380,.481,.294,.375,.313,.339,.256,.661,.000,0,.293,.294,2,0,,rubiori01
283,Duane Washington Jr.,21,IND,PG,48,7,968,.405,16.3,.496,.201,.155,.080,.061,.504,.434,.535,.379,.353,.346,.377,.522,.926,.016,6,.340,.479,2,0,,washidu02
284,Joshua Primo,19,SAS,SF,50,16,965,.374,15.9,.493,.200,.178,.070,.044,.507,.444,.611,.375,.263,.250,.307,.525,.929,.033,8,.350,.271,1,0,,primojo01
285,Moritz Wagner,24,ORL,C,63,3,960,.497,14.4,.492,.316,.169,.000,.008,.508,.672,.752,.552,,.000,.328,.763,.985,.149,50,.119,.375,0,0,,wagnemo01
286,Blake Griffin,32,BRK,C,56,24,958,.425,13.5,.537,.339,.150,.035,.013,.463,.565,.613,.532,.273,.500,.262,.621,.947,.058,13,.262,.237,1,0,,griffbl01
287,Keita Bates-Diop,26,SAS,SF,59,14,957,.517,8.4,.791,.502,.198,.046,.046,.209,.572,.682,.385,.500,.250,.309,.756,.941,.072,19,.455,.320,0,0,,bateske01
288,Isaiah Roby,23,OKC,PF,45,28,948,.514,10.8,.693,.319,.328,.031,.015,.307,.545,.699,.425,.300,.400,.444,.689,.909,.136,36,.273,.481,0,0,,robyis01
289,Kemba Walker,31,NYK,PG,37,37,948,.403,18.0,.462,.138,.130,.084,.111,.538,.444,.569,.375,.323,.463,.367,.211,.507,.000,0,.030,.500,0,0,,walkeke02
290,Taj Gibson,36,NYK,C,52,4,946,.518,9.9,.771,.398,.181,.102,.090,.229,.555,.667,.433,.529,.333,.395,.676,1.000,.127,18,.658,.520,0,0,,gibsota01
291,Rui Hachimura,23,WAS,PF,42,13,943,.491,14.7,.677,.197,.150,.160,.171,.323,.512,.840,.404,.393,.338,.447,.606,.982,.063,22,.285,.429,0,0,,hachiru01
292,Klay Thompson,31,GSW,SG,32,32,941,.429,18.9,.483,.061,.129,.162,.131,.517,.477,.714,.486,.409,.440,.385,.636,.886,.009,5,.166,.367,1,0,,thompkl01
293,Jeremy Lamb,29,2TM,SF,56,0,935,.383,17.2,.510,.089,.202,.147,.072,.490,.441,.581,.400,.412,.440,.324,.346,.818,.000,0,.188,.313,4,0,,lambje01
293,Jeremy Lamb,29,IND,SF,39,0,613,.373,18.0,.487,.083,.184,.154,.066,.513,.414,.474,.405,.400,.400,.333,.326,.897,.000,0,.205,.333,3,0,,lambje01
293,Jeremy Lamb,29,SAC,SG,17,0,322,.403,16.3,.555,.101,.235,.134,.084,.445,.485,.750,.393,.438,.500,.302,.375,.625,.000,0,.151,.250,1,0,,lambje01
294,Jalen Smith,21,2TM,PF,51,8,925,.503,12.2,.651,.291,.246,.063,.051,.349,.596,.765,.500,.364,.389,.328,.721,1.000,.111,38,.270,.242,0,0,,smithja04
294,Jalen Smith,21,PHO,PF,29,4,382,.460,11.4,.715,.248,.328,.073,.066,.285,.551,.706,.556,.200,.333,.231,.685,1.000,.080,10,.179,.143,0,0,,smithja04
294,Jalen Smith,21,IND,PF,22,4,543,.531,13.1,.610,.319,.192,.056,.042,.390,.631,.794,.439,.500,.444,.373,.744,1.000,.131,28,.313,.269,0,0,,smithja04
295,Théo Maledon,20,OKC,PG,51,7,908,.375,15.3,.527,.117,.334,.054,.022,.473,.449,.514,.462,.294,.286,.293,.453,.864,.003,1,.180,.222,0,0,,maledth01
296,Tomáš Satoranský,30,3TM,SG,55,13,906,.377,13.0,.723,.241,.236,.152,.094,.277,.442,.630,.333,.379,.333,.208,.443,1.000,.037,6,.208,.091,3,0,,satorto01
296,Tomáš Satoranský,30,NOP,SG,32,3,481,.299,12.7,.710,.234,.262,.150,.065,.290,.355,.520,.286,.375,.000,.161,.519,1.000,.019,1,.161,.000,1,0,,satorto01
296,Tomáš Satoranský,30,SAS,SF,1,0,9,,,,,,,,,,,,,,,,,,0,,,0,0,,satorto01
296,Tomáš Satoranský,30,WAS,PG,22,10,416,.476,13.3,.738,.250,.202,.155,.131,.262,.548,.762,.412,.385,.545,.273,.382,1.000,.060,5,.273,.167,2,0,,satorto01
297,Jevon Carter,26,2TM,PG,66,3,905,.387,20.6,.328,.055,.043,.067,.162,.672,.386,.429,.273,.471,.366,.388,.438,.773,.004,1,.324,.473,1,0,,carteje01
297,Jevon Carter,26,BRK,PG,46,1,552,.333,22.2,.270,.040,.023,.057,.149,.730,.340,.143,.250,.400,.385,.331,.563,.786,.006,1,.276,.400,1,0,,carteje01
297,Jevon Carter,26,MIL,PG,20,2,353,.506,18.9,.456,.089,.089,.089,.190,.544,.444,.714,.286,.571,.333,.558,.313,.750,.000,0,.465,.600,0,0,,carteje01
298,Jordan McLaughlin,25,MIN,PG,62,3,902,.440,13.3,.575,.290,.230,.050,.005,.425,.530,.707,.326,.400,1.000,.318,.492,.852,.015,3,.365,.516,3,0,,mclaujo01
299,Derrick Jones Jr.,24,CHI,PF,51,8,899,.538,8.9,.687,.549,.128,.005,.005,.313,.634,.701,.320,1.000,1.000,.328,.706,1.000,.205,39,.672,.390,0,0,,jonesde02
300,Tristan Thompson,30,3TM,C,57,6,897,.528,4.6,.989,.487,.464,.034,.004,.011,.530,.608,.452,.556,.000,.333,.657,1.000,.157,33,.000,,2,0,,thomptr01
300,Tristan Thompson,30,SAC,C,30,3,455,.503,3.9,.993,.497,.470,.026,.000,.007,.500,.560,.423,.750,,1.000,.640,1.000,.172,18,.000,,0,0,,thomptr01
300,Tristan Thompson,30,IND,C,4,0,66,.542,4.9,1.000,.292,.667,.042,.000,.000,.542,.857,.375,1.000,,,.846,,.083,2,,,0,0,,thomptr01
300,Tristan Thompson,30,CHI,C,23,3,376,.565,4.8,.978,.522,.402,.043,.011,.022,.578,.646,.541,.250,.000,.000,.635,,.152,13,.000,,2,0,,thomptr01
301,Jalen McDaniels,24,CHO,SF,55,2,895,.484,13.4,.575,.283,.224,.051,.016,.425,.562,.750,.386,.231,.750,.380,.610,1.000,.075,17,.380,.341,1,0,,mcdanja01
302,Dillon Brooks,26,MEM,SF,32,31,885,.432,13.3,.717,.196,.249,.186,.086,.283,.480,.680,.389,.398,.467,.309,.470,.826,.029,12,.161,.375,3,0,,brookdi01
303,D.J. Augustin,34,2TM,PG,55,2,883,.423,20.4,.261,.131,.086,.018,.027,.739,.448,.586,.368,.250,.167,.415,.308,.824,.000,0,.238,.462,0,0,,augusdj01
303,D.J. Augustin,34,HOU,PG,34,2,510,.404,19.8,.294,.162,.074,.022,.037,.706,.400,.545,.300,.000,.200,.406,.375,.769,.000,0,.156,.533,0,0,,augusdj01
303,D.J. Augustin,34,LAL,PG,21,0,373,.453,21.1,.209,.081,.105,.012,.012,.791,.556,.714,.444,1.000,.000,.426,.200,.897,.000,0,.353,.417,0,0,,augusdj01
304,Serge Ibaka,32,2TM,C,54,12,877,.500,13.8,.666,.193,.274,.105,.095,.334,.563,.789,.506,.516,.321,.374,.703,1.000,.074,21,.091,.222,0,0,,ibakase01
304,Serge Ibaka,32,LAC,C,35,10,538,.490,13.9,.677,.182,.271,.120,.104,.323,.538,.743,.519,.435,.350,.387,.700,1.000,.068,12,.032,.500,0,0,,ibakase01
304,Serge Ibaka,32,MIL,C,19,2,339,.519,13.7,.644,.212,.279,.077,.077,.356,.612,.864,.483,.750,.250,.351,.707,1.000,.087,9,.189,.143,0,0,,ibakase01
305,Trendon Watford,21,POR,SF,48,10,869,.532,8.0,.858,.371,.337,.135,.015,.142,.581,.768,.478,.361,.250,.237,.579,.889,.030,7,.237,.111,0,0,,watfotr01
306,Trey Murphy III,21,NOP,SF,62,1,864,.394,18.5,.329,.199,.087,.018,.025,.671,.418,.582,.167,.200,.143,.382,.579,.972,.072,17,.392,.466,1,0,,murphtr02
307,Maurice Harkless,28,SAC,SF,47,24,863,.459,15.0,.442,.265,.155,.006,.017,.558,.650,.688,.643,.000,.333,.307,.788,1.000,.116,17,.604,.361,0,0,,harklma01
308,Thaddeus Young,33,2TM,PF,52,1,845,.518,7.6,.824,.382,.393,.026,.022,.176,.554,.625,.523,.286,.167,.354,.524,1.000,.037,7,.604,.483,0,0,,youngth01
308,Thaddeus Young,33,SAS,PF,26,1,370,.578,5.1,.961,.391,.516,.031,.023,.039,.602,.720,.561,.000,.333,.000,.554,,.039,3,.200,.000,0,0,,youngth01
308,Thaddeus Young,33,TOR,PF,26,0,475,.465,10.1,.701,.375,.285,.021,.021,.299,.495,.537,.463,.667,.000,.395,.480,1.000,.035,4,.651,.500,0,0,,youngth01
309,Armoni Brooks,23,2TM,SG,54,11,844,.339,24.0,.138,.083,.035,.010,.010,.862,.600,.708,.600,.000,.333,.297,.667,.824,.014,3,.137,.265,1,0,,brookar01
309,Armoni Brooks,23,HOU,SG,41,8,690,.347,23.2,.151,.092,.036,.012,.012,.849,.605,.739,.556,.000,.333,.300,.652,.813,.016,3,.131,.250,1,0,,brookar01
309,Armoni Brooks,23,TOR,PG,13,3,154,.289,24.7,.053,.026,.026,.000,.000,.947,.500,.000,1.000,,,.278,1.000,.900,.000,0,.167,.333,0,0,,brookar01
310,Willy Hernangómez,27,NOP,C,50,8,839,.520,4.2,.963,.563,.352,.043,.006,.037,.527,.630,.391,.357,.000,.333,.687,1.000,.098,30,.083,.000,1,0,,hernawi01
311,Jose Alvarado,23,NOP,PG,54,1,834,.446,13.6,.626,.235,.248,.099,.044,.374,.538,.609,.507,.483,.462,.291,.303,.969,.000,0,.227,.320,1,0,,alvarjo01
312,Josh Jackson,24,2TM,SF,51,3,830,.400,14.4,.567,.243,.170,.060,.093,.433,.512,.712,.392,.389,.286,.254,.517,.879,.043,9,.238,.194,0,0,,jacksjo02
312,Josh Jackson,24,DET,SF,39,3,707,.410,15.2,.550,.243,.163,.056,.088,.450,.529,.721,.390,.429,.318,.265,.507,.867,.052,9,.257,.207,0,0,,jacksjo02
312,Josh Jackson,24,SAC,SF,12,0,123,.347,13.7,.653,.245,.204,.082,.122,.347,.438,.667,.400,.250,.167,.176,.571,1.000,.000,0,.118,.000,0,0,,jacksjo02
313,Tony Snell,30,2TM,SG,53,12,823,.404,19.9,.251,.105,.094,.035,.018,.749,.558,.722,.375,.500,.667,.352,.750,.956,.018,3,.477,.361,0,0,,snellto01
313,Tony Snell,30,POR,SG,38,10,546,.371,20.8,.227,.082,.072,.052,.021,.773,.545,.500,.429,.600,1.000,.320,.750,.958,.010,1,.520,.385,0,0,,snellto01
313,Tony Snell,30,NOP,SG,15,2,277,.446,18.9,.284,.135,.122,.014,.014,.716,.571,.900,.333,.000,.000,.396,.750,.952,.027,2,.415,.318,0,0,,snellto01
314,Lance Stephenson,31,2TM,SG,46,1,814,.455,14.9,.721,.220,.164,.080,.257,.279,.515,.662,.547,.423,.398,.300,.200,.593,.003,1,.178,.375,0,0,,stephla01
314,Lance Stephenson,31,ATL,SG,6,0,70,.385,15.5,.769,.231,.000,.154,.385,.231,.500,.667,,.500,.400,.000,.600,,.000,0,.333,.000,0,0,,stephla01
314,Lance Stephenson,31,IND,PG,40,1,744,.458,14.2,.719,.219,.171,.077,.252,.281,.516,.662,.547,.417,.397,.310,.183,.593,.003,1,.172,.400,0,0,,stephla01
315,Wayne Ellington,34,LAL,SG,43,9,810,.414,23.4,.110,.042,.025,.030,.013,.890,.615,.800,.667,.429,.333,.389,.875,.951,.000,0,.280,.475,0,0,,ellinwa01
316,Dāvis Bertāns,29,2TM,PF,56,0,807,.360,22.8,.164,.065,.069,.015,.015,.836,.489,.611,.421,.000,.750,.335,.864,.987,.036,9,.222,.471,1,0,,bertada01
316,Dāvis Bertāns,29,WAS,PF,34,0,501,.351,23.6,.158,.053,.064,.023,.018,.842,.519,.667,.545,.000,.667,.319,.786,1.000,.029,5,.194,.571,1,0,,bertada01
316,Dāvis Bertāns,29,DAL,PF,22,0,306,.375,22.1,.173,.087,.077,.000,.010,.827,.444,.556,.250,,1.000,.360,1.000,.968,.048,4,.267,.348,0,0,,bertada01
317,Ty Jerome,24,OKC,SG,48,4,801,.378,18.3,.433,.070,.235,.113,.015,.567,.493,.478,.481,.568,.200,.290,.300,.796,.000,0,.161,.433,1,0,,jeromty01
318,Lou Williams,35,ATL,PG,56,0,799,.391,15.3,.681,.116,.159,.244,.163,.319,.404,.514,.392,.372,.385,.363,.341,.730,.003,1,.373,.421,0,0,,willilo02
319,Quentin Grimes,21,NYK,SG,46,6,786,.404,22.1,.196,.089,.017,.021,.068,.804,.500,.714,.000,.200,.438,.381,.609,.958,.013,3,.249,.468,0,0,,grimequ01
320,Justise Winslow,25,2TM,PF,48,11,775,.428,10.8,.743,.354,.257,.070,.062,.257,.497,.681,.379,.222,.250,.227,.695,1.000,.023,5,.409,.222,2,0,,winslju01
320,Justise Winslow,25,LAC,PF,37,1,480,.447,9.5,.794,.362,.319,.078,.035,.206,.518,.686,.422,.273,.200,.172,.672,1.000,.028,3,.517,.267,2,0,,winslju01
320,Justise Winslow,25,POR,PF,11,10,295,.405,12.0,.681,.345,.181,.060,.095,.319,.468,.675,.286,.143,.273,.270,.730,1.000,.017,2,.324,.167,0,0,,winslju01
321,Romeo Langford,22,2TM,SG,48,5,771,.435,13.4,.555,.204,.241,.079,.031,.445,.509,.718,.370,.467,.333,.341,.722,.966,.047,8,.518,.318,1,0,,langfro01
321,Romeo Langford,22,BOS,SG,44,5,728,.429,14.5,.549,.207,.239,.076,.027,.451,.495,.711,.364,.429,.200,.349,.700,.966,.043,7,.518,.326,1,0,,langfro01
321,Romeo Langford,22,SAS,SG,4,0,43,.571,12.3,.714,.143,.286,.143,.143,.286,.800,1.000,.500,1.000,1.000,.000,1.000,,.143,1,.500,.000,0,0,,langfro01
