Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
48,Jordan Poole,22,GSW,SG,76,51,2283,.448,17.8,.452,.142,.182,.066,.061,.548,.550,.680,.523,.457,.431,.364,.414,.706,.019,16,.160,.355,5,1,,poolejo01
49,Will Barton,31,DEN,SG,71,71,2277,.438,16.0,.520,.186,.180,.067,.087,.480,.504,.701,.398,.433,.359,.365,.498,.771,.027,23,.216,.441,1,0,,bartowi01
50,Desmond Bane,23,MEM,SG,76,76,2266,.461,16.8,.525,.153,.156,.116,.099,.475,.484,.669,.384,.438,.413,.436,.596,.833,.005,6,.184,.385,1,0,,banede01
51,Donovan Mitchell,25,UTA,SG,67,67,2266,.448,16.7,.525,.140,.236,.077,.072,.475,.533,.708,.465,.519,.434,.355,.177,.483,.018,21,.090,.356,2,0,AS,mitchdo01
52,Jonas Valančiūnas,29,NOP,C,74,74,2240,.544,9.1,.832,.333,.324,.132,.043,.168,.581,.696,.520,.484,.450,.361,.627,.982,.064,53,.019,.333,0,0,,valanjo01
53,Monte Morris,26,DEN,PG,75,74,2239,.484,16.1,.594,.155,.137,.132,.169,.406,.545,.725,.491,.490,.466,.395,.472,.935,.000,0,.328,.398,0,0,,morrimo01
54,Jaylen Brown,25,BOS,SF,66,66,2220,.473,14.5,.619,.200,.234,.094,.091,.381,.544,.765,.425,.474,.441,.358,.471,.759,.034,31,.185,.337,2,0,,brownja02
55,Stephen Curry,33,GSW,PG,64,64,2211,.437,19.8,.387,.120,.134,.062,.071,.613,.527,.599,.530,.513,.414,.380,.368,.572,.000,0,.091,.324,5,0,MVP-8ASNBA2,curryst01
56,Jrue Holiday,31,MIL,PG,67,64,2208,.501,13.6,.664,.222,.246,.124,.071,.336,.547,.651,.464,.542,.515,.411,.197,.432,.004,4,.103,.364,1,0,DPOY-8,holidjr01
57,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,.553,10.0,.806,.406,.198,.120,.082,.194,.616,.808,.421,.416,.431,.293,.432,.423,.152,179,.025,.167,2,0,MVP-3DPOY-6ASNBA1,antetgi01
58,Kyle Kuzma,26,WAS,PF,66,66,2204,.452,14.8,.599,.167,.260,.108,.065,.401,.526,.744,.498,.386,.311,.341,.492,.883,.024,19,.227,.329,1,0,,kuzmaky01
59,Derrick White,27,2TM,SG,75,52,2199,.421,15.6,.539,.159,.231,.120,.029,.461,.515,.614,.503,.479,.217,.312,.401,.835,.009,7,.195,.306,1,0,,whitede01
59,Derrick White,27,SAS,SG,49,48,1486,.426,15.2,.547,.168,.228,.126,.025,.453,.519,.594,.515,.472,.286,.314,.358,.815,.009,5,.182,.234,0,0,,whitede01
59,Derrick White,27,BOS,SG,26,4,713,.409,16.0,.517,.135,.239,.104,.039,.483,.504,.677,.473,.500,.111,.306,.517,.882,.009,2,.225,.440,1,0,,whitede01
60,Kevin Huerter,23,ATL,SF,74,60,2188,.454,18.0,.459,.109,.136,.136,.079,.541,.530,.663,.485,.505,.467,.389,.519,.900,.004,3,.260,.449,2,0,,huertke01
61,Devonte' Graham,26,NOP,PG,76,63,2162,.363,21.2,.309,.082,.070,.055,.102,.691,.413,.627,.298,.400,.325,.341,.308,.755,.001,1,.130,.342,4,1,,grahade01
62,Tyler Herro,22,MIA,SG,66,10,2151,.447,16.0,.609,.137,.193,.156,.123,.391,.477,.688,.407,.446,.391,.399,.334,.709,.014,14,.207,.385,5,0,6MOY-1,herroty01
63,CJ McCollum,30,2TM,PG,62,62,2145,.460,16.1,.597,.127,.183,.162,.125,.403,.509,.642,.441,.497,.490,.388,.254,.659,.003,4,.130,.377,0,0,,mccolcj01
63,CJ McCollum,30,POR,SG,36,36,1267,.436,16.7,.565,.126,.165,.155,.119,.435,.476,.607,.409,.476,.430,.384,.223,.658,.003,2,.166,.313,0,0,,mccolcj01
63,CJ McCollum,30,NOP,PG,26,26,878,.493,15.6,.639,.128,.206,.172,.132,.361,.549,.688,.476,.523,.561,.394,.286,.662,.004,2,.072,.615,0,0,,mccolcj01
64,Jordan Clarkson,29,UTA,SG,79,1,2141,.419,16.9,.464,.099,.272,.075,.018,.536,.535,.627,.515,.554,.250,.318,.221,.674,.012,8,.193,.348,2,0,6MOY-4,clarkjo01
65,Khris Middleton,30,MIL,SF,66,66,2141,.443,17.3,.575,.104,.140,.189,.142,.425,.494,.736,.406,.503,.393,.373,.331,.630,.008,6,.111,.375,0,0,AS,middlkh01
66,Malik Monk,23,LAL,SG,76,37,2139,.473,16.3,.465,.229,.162,.034,.040,.535,.568,.725,.448,.393,.303,.391,.546,.832,.069,54,.172,.395,0,0,,monkma01
67,Chris Paul,36,PHO,PG,65,65,2139,.493,16.4,.730,.034,.158,.346,.192,.270,.559,.720,.543,.592,.482,.317,.097,.413,.000,0,.080,.313,3,0,MVP-9ASNBA3,paulch01
68,Jalen Green,19,HOU,SG,67,67,2138,.426,15.7,.520,.271,.129,.031,.088,.480,.502,.680,.252,.333,.381,.343,.438,.662,.087,69,.146,.373,1,0,ROY-4,greenja05
69,Domantas Sabonis,25,2TM,PF,62,61,2136,.573,7.4,.838,.485,.265,.047,.041,.162,.623,.739,.517,.389,.219,.312,.616,.974,.085,59,.136,.235,0,0,,sabondo01
69,Domantas Sabonis,25,IND,PF,47,46,1632,.580,7.9,.811,.511,.226,.042,.032,.189,.639,.750,.504,.292,.278,.324,.622,1.000,.088,45,.148,.250,0,0,,sabondo01
69,Domantas Sabonis,25,SAC,PF,15,15,504,.554,6.8,.916,.411,.376,.059,.069,.084,.584,.699,.539,.583,.143,.235,.602,.750,.079,14,.059,.000,0,0,,sabondo01
70,Seth Curry,31,2TM,SG,64,64,2135,.487,19.6,.494,.053,.100,.133,.208,.506,.553,.692,.568,.510,.539,.422,.465,.829,.000,0,.182,.500,0,0,,curryse01
70,Seth Curry,31,PHI,SG,45,45,1566,.485,19.1,.527,.055,.110,.138,.223,.473,.561,.690,.552,.548,.542,.400,.481,.780,.000,0,.152,.500,0,0,,curryse01
70,Seth Curry,31,BRK,SG,19,19,569,.493,20.2,.412,.047,.076,.118,.171,.588,.529,.700,.625,.400,.528,.468,.413,.914,.000,0,.242,.500,0,0,,curryse01
71,Kyle Lowry,35,MIA,PG,63,63,2133,.440,19.8,.391,.121,.091,.091,.088,.609,.539,.711,.456,.456,.473,.377,.303,.653,.000,0,.147,.446,4,0,,lowryky01
72,Bojan Bogdanović,32,UTA,PF,69,69,2131,.455,15.6,.496,.147,.250,.084,.015,.504,.524,.684,.483,.410,.286,.387,.568,.917,.016,11,.376,.420,0,0,,bogdabo02
73,Jaren Jackson Jr.,22,MEM,PF,78,78,2126,.415,13.1,.613,.218,.335,.055,.005,.387,.476,.615,.395,.421,.400,.319,.563,.984,.051,46,.175,.257,1,0,DPOY-5,jacksja02
74,Rudy Gobert,29,UTA,C,66,66,2120,.713,2.7,.992,.738,.244,.008,.002,.008,.718,.803,.468,.750,.000,.000,.724,,.494,233,.000,,2,0,DPOY-3AS,goberru01
75,Ayo Dosunmu,22,CHI,SG,77,40,2110,.520,12.3,.652,.368,.114,.097,.073,.348,.596,.701,.377,.481,.564,.376,.572,.986,.045,20,.489,.407,1,1,,dosunay01
76,Christian Wood,26,HOU,C,68,67,2094,.501,13.0,.617,.312,.211,.054,.041,.383,.570,.737,.454,.340,.194,.390,.605,.847,.147,120,.116,.462,1,0,,woodch01
77,Cade Cunningham,20,DET,SG,64,64,2088,.416,13.8,.648,.214,.249,.113,.072,.352,.472,.588,.432,.431,.324,.314,.235,.711,.020,19,.143,.365,2,0,ROY-3,cunnica01
78,De'Aaron Fox,24,SAC,PG,59,59,2084,.473,12.4,.772,.199,.267,.189,.117,.228,.524,.714,.466,.451,.453,.297,.215,.554,.013,14,.137,.235,0,0,,foxde01
79,LeBron James,37,LAL,C,56,56,2084,.524,13.8,.633,.325,.141,.073,.094,.367,.620,.796,.465,.382,.426,.359,.407,.559,.070,85,.074,.303,0,0,MVP-10ASNBA3,jamesle01
80,D'Angelo Russell,25,MIN,PG,65,65,2077,.411,18.2,.469,.128,.128,.104,.109,.531,.492,.696,.392,.465,.396,.340,.280,.631,.008,5,.083,.395,3,0,,russeda01
81,Davion Mitchell,23,SAC,PG,75,19,2076,.418,15.6,.620,.189,.154,.108,.170,.380,.480,.642,.438,.352,.420,.316,.231,.663,.004,3,.119,.342,4,0,,mitchda01
82,Cole Anthony,21,ORL,PG,65,65,2059,.391,16.2,.571,.147,.214,.095,.115,.429,.432,.590,.385,.448,.305,.338,.240,.667,.025,14,.087,.324,2,0,,anthoco01
83,Mike Conley,34,UTA,PG,72,72,2058,.435,17.1,.477,.075,.268,.109,.025,.523,.464,.559,.453,.442,.400,.408,.257,.521,.001,0,.167,.391,1,0,,conlemi01
84,Justin Holiday,32,2TM,SF,74,65,2057,.394,20.5,.272,.104,.048,.044,.076,.728,.467,.594,.344,.483,.360,.367,.786,.960,.021,12,.288,.388,1,0,,holidju01
84,Justin Holiday,32,IND,SF,49,40,1416,.415,21.1,.266,.100,.037,.050,.079,.734,.516,.674,.353,.478,.417,.378,.825,.969,.017,7,.292,.398,1,0,,holidju01
84,Justin Holiday,32,SAC,SG,25,25,641,.348,20.0,.284,.113,.074,.029,.069,.716,.362,.435,.333,.500,.214,.342,.667,.940,.029,5,.281,.366,0,0,,holidju01
85,Jae'Sean Tate,26,HOU,PF,78,77,2056,.498,9.2,.723,.414,.295,.010,.004,.277,.569,.705,.391,.286,.333,.312,.490,.937,.064,43,.391,.316,0,0,,tateja01
86,Kevin Durant,33,BRK,PF,55,55,2047,.518,15.1,.731,.109,.143,.319,.161,.269,.568,.744,.516,.528,.575,.383,.499,.557,.033,34,.067,.550,0,0,MVP-10ASNBA2,duranke01
87,Duncan Robinson,27,MIA,SG,79,68,2043,.399,22.7,.140,.077,.039,.012,.012,.860,.569,.679,.393,.556,.444,.372,.828,.961,.003,2,.239,.423,0,0,,robindu01
88,Clint Capela,27,ATL,C,74,73,2042,.613,2.2,.998,.765,.225,.007,.002,.002,.614,.684,.382,.500,.000,.000,.765,,.295,164,.000,,1,0,,capelca01
89,Bobby Portis,26,MIL,C,72,59,2028,.479,14.5,.612,.219,.185,.126,.082,.388,.533,.644,.497,.455,.437,.393,.556,1.000,.037,24,.382,.403,2,0,,portibo01
90,Al Horford,35,BOS,C,69,69,2005,.467,15.3,.534,.170,.243,.069,.053,.466,.582,.784,.507,.538,.333,.336,.678,.978,.056,31,.279,.378,0,0,DPOY-9,horfoal01
